age,gender,marital_status,education_level,annual_income,monthly_income,employment_status,debt_to_income_ratio,credit_score,loan_amount,loan_purpose,interest_rate,loan_term,installment,grade_subgrade,num_of_open_accounts,total_credit_limit,current_balance,delinquency_history,public_records,num_of_delinquencies,loan_paid_back
39,Female,Single,Master's,86329.84,7194.15,Self-employed,0.056,820,23882.57,Business,8.81,36,757.35,A2,3,103648.51,24983.11,1,0,3,1
37,Female,Married,Bachelor's,11128.42,927.37,Employed,0.065,686,11573.44,Debt consolidation,11.75,36,383.02,C2,4,18917.03,2813.98,1,0,1,1
41,Female,Single,High School,16251.23,1354.27,Employed,0.183,654,15829.5,Education,14.44,36,544.4,D5,6,21947.8,2608.73,4,0,4,0
34,Male,Married,Bachelor's,75819.75,6318.31,Employed,0.205,664,3869.34,Business,12.72,36,129.85,D3,5,64847.33,54794.91,2,0,2,1
29,Male,Single,Bachelor's,21760.05,1813.34,Employed,0.01,603,14393.77,Debt consolidation,15.2,36,500.38,E3,3,30653.99,8372.48,3,0,3,1
66,Female,Single,High School,27536.68,2294.72,Employed,0.308,695,500,Car,14.45,60,11.75,C3,3,33009.48,15015.49,1,0,1,1
21,Female,Single,Bachelor's,24040.29,2003.36,Retired,0.173,685,8500.17,Education,12.8,36,285.59,C2,2,30136.18,8671.94,3,0,5,1
71,Female,Widowed,Master's,62954.49,5246.21,Employed,0.088,640,22760.26,Vacation,12.77,36,764.36,D4,5,94047.39,67530.81,1,0,3,1
65,Female,Married,High School,99131.99,8261,Employed,0.475,651,23217.23,Education,15.16,36,806.65,D1,6,128711.76,116922.24,6,0,6,0
33,Female,Single,Master's,37956.34,3163.03,Unemployed,0.036,819,1546.36,Other,10.14,36,50,A2,6,36092.92,33308.88,0,0,1,1
24,Female,Single,High School,27906.04,2325.5,Employed,0.058,681,500,Medical,12.05,60,11.13,C5,2,23144.92,8953.66,2,0,2,1
21,Female,Married,High School,31802.12,2650.18,Employed,0.231,562,6887.14,Debt consolidation,14.33,60,161.43,F2,7,28544.21,25603.34,5,0,5,1
69,Female,Single,High School,62013.51,5167.79,Employed,0.286,569,33462.01,Other,17.76,36,1205.71,F5,5,55356.2,22793.3,0,0,0,1
60,Male,Widowed,Bachelor's,49766.67,4147.22,Unemployed,0.079,741,15595.34,Debt consolidation,12.36,36,520.67,B3,5,42853.79,6786.36,2,0,3,1
52,Female,Divorced,Other,31245.66,2603.8,Employed,0.163,739,19872.54,Business,14.27,60,465.19,C3,3,43627.86,28307.53,1,0,2,1
54,Female,Married,Master's,35375.98,2948,Employed,0.106,671,2250.69,Debt consolidation,12.47,36,75.26,C4,6,38174.47,2726.9,2,0,4,1
48,Male,Widowed,High School,23606.5,1967.21,Employed,0.171,655,27033.35,Debt consolidation,16.89,36,962.33,D3,9,35783.06,3643.91,3,0,3,1
51,Female,Single,High School,24314.29,2026.19,Employed,0.388,734,1151.67,Debt consolidation,6.48,36,35.29,C3,4,37292.76,32399.69,2,0,3,1
28,Female,Single,Bachelor's,15692.57,1307.71,Employed,0.079,638,21988.82,Debt consolidation,15.89,36,771.87,D4,7,23612.7,6054.5,3,0,5,1
59,Male,Single,High School,72213.2,6017.77,Employed,0.025,633,14322.13,Debt consolidation,14.86,60,339.67,D3,6,114103.73,42466.54,2,0,2,1
46,Female,Single,Master's,9335,777.92,Retired,0.166,614,8630.47,Car,14.99,36,299.14,D5,4,12258.45,6052.25,2,0,2,1
54,Male,Widowed,High School,42930.59,3577.55,Self-employed,0.067,750,13434.54,Education,11.85,60,297.83,B1,4,33848.99,7423.22,4,0,4,1
74,Female,Single,High School,35738.04,2978.17,Unemployed,0.192,746,5689.28,Debt consolidation,13.85,36,194.03,B3,7,45426.31,10727.9,1,0,1,0
74,Female,Married,Bachelor's,34324.12,2860.34,Employed,0.046,755,29913.6,Debt consolidation,10.47,60,642.52,B3,3,30939.69,28432.38,2,0,2,1
23,Male,Married,Master's,25150.6,2095.88,Unemployed,0.272,802,20570.71,Car,6.23,36,627.95,A3,3,32230.97,7770.75,3,0,3,0
70,Male,Single,High School,30444.63,2537.05,Employed,0.137,776,9943.03,Vacation,11.06,36,325.8,B5,4,37845.12,15748.64,2,0,3,1
32,Female,Single,High School,104400.13,8700.01,Student,0.142,681,21830.39,Business,13.7,36,742.93,C3,3,158621.66,8040.94,2,0,2,0
21,Male,Single,Bachelor's,37944.15,3162.01,Employed,0.121,693,22427.04,Car,11.8,36,742.76,C1,3,25603.95,19711.8,4,0,4,1
74,Male,Single,Bachelor's,40011.32,3334.28,Employed,0.178,571,15404.06,Debt consolidation,11.63,36,508.92,F4,11,69245.83,26806.41,2,0,2,1
64,Female,Married,Other,40779.06,3398.25,Retired,0.284,652,23490.07,Debt consolidation,12.18,36,782.23,D2,4,54803.29,38163.62,1,0,2,1
25,Male,Married,High School,23839.42,1986.62,Employed,0.306,679,18256.25,Education,11.07,36,598.29,C2,0,34001.25,7864.58,4,0,5,1
50,Male,Married,High School,25828.06,2152.34,Self-employed,0.305,656,21311.91,Car,13.95,36,727.87,D3,3,22314.38,7059.09,1,0,3,1
50,Female,Married,Bachelor's,49827.95,4152.33,Employed,0.074,744,35034.46,Business,9.84,60,741.62,B1,4,50044.83,4413.39,1,0,2,1
37,Female,Single,High School,21931.8,1827.65,Self-employed,0.15,671,13928.26,Car,13.88,60,323.22,C3,5,21205.07,18299.73,0,0,0,1
68,Female,Single,Bachelor's,34269.32,2855.78,Employed,0.509,602,26886.92,Other,15.56,60,647.57,E1,1,27435.69,21280.71,3,0,4,1
67,Female,Married,High School,72906.75,6075.56,Employed,0.182,671,20267.31,Debt consolidation,14.42,60,476.01,C5,3,104964.7,74410.96,2,0,2,0
43,Male,Single,PhD,24289.25,2024.1,Employed,0.127,650,12936.05,Home,10.71,60,279.39,D1,3,15630.47,5210.3,1,0,2,1
35,Male,Single,Bachelor's,34001.36,2833.45,Unemployed,0.079,686,18821.85,Education,11.93,36,624.53,C1,3,21111.35,19191.39,1,0,1,0
57,Male,Married,Master's,30744.81,2562.07,Retired,0.311,659,7604.07,Other,11.96,36,252.42,D1,7,43419.44,23179.18,1,0,1,1
41,Female,Divorced,Other,49092.64,4091.05,Self-employed,0.12,691,19590.86,Debt consolidation,12.96,60,445.35,C2,12,66985.65,50795.8,1,0,2,1
34,Female,Divorced,Other,39624.52,3302.04,Unemployed,0.103,722,25982.51,Debt consolidation,12.07,60,578.89,C5,7,28468.46,21269.75,2,0,2,1
22,Female,Single,Bachelor's,24092.11,2007.68,Employed,0.252,729,12912.6,Car,11.13,36,423.54,C4,2,14802.12,9703.72,2,0,2,1
31,Female,Married,Other,26378.09,2198.17,Employed,0.139,671,2768.55,Debt consolidation,13.57,36,94.05,C1,4,23445.15,16798.56,0,0,1,1
71,Female,Single,Bachelor's,24732.75,2061.06,Self-employed,0.246,639,6154.92,Medical,13.97,36,210.27,D1,4,33977.46,5183.14,4,0,4,1
59,Male,Divorced,High School,23565.04,1963.75,Employed,0.24,773,9910.06,Debt consolidation,11.64,36,327.45,B2,5,21986.47,13353.64,3,0,3,1
58,Male,Single,PhD,12676.43,1056.37,Employed,0.103,615,21085.15,Debt consolidation,14.69,36,727.73,D2,7,13921.16,3775.86,5,0,6,1
54,Male,Single,Bachelor's,40482.76,3373.56,Retired,0.211,734,21157.99,Vacation,8.43,36,667.22,C5,5,64742.28,59618.65,2,0,2,1
58,Male,Married,High School,24305.11,2025.43,Employed,0.07,536,13869.39,Car,15.87,36,486.72,F1,5,27300.38,19843.31,2,0,2,0
70,Female,Divorced,Master's,48541.8,4045.15,Unemployed,0.048,588,16464.37,Debt consolidation,14.97,36,570.5,E5,3,54158.13,24686.8,2,0,3,0
54,Male,Married,Bachelor's,38205.8,3183.82,Employed,0.159,623,11402.4,Home,13.77,60,263.96,D4,4,56601.6,5529.35,2,0,2,0
38,Female,Single,PhD,28953.45,2412.79,Employed,0.016,663,23086.92,Other,14.97,60,548.87,D2,2,40074.81,15269.74,2,0,3,1
50,Female,Married,Master's,27568.62,2297.38,Employed,0.106,709,14517.48,Debt consolidation,9.79,36,467.01,C5,4,22336.7,9553.17,1,1,2,1
35,Male,Married,Bachelor's,16443.98,1370.33,Employed,0.307,686,500,Car,11.7,60,11.05,C2,1,18511.45,3530.94,2,0,3,1
47,Male,Married,High School,39245.08,3270.42,Retired,0.111,686,6181.93,Business,14.5,36,212.79,C3,4,49495.79,34257.22,3,0,3,1
71,Male,Single,Master's,34548.03,2879,Employed,0.239,728,21552.47,Car,12.71,36,723.18,C2,8,27865.95,12173.99,3,0,3,1
54,Male,Single,Bachelor's,24985.86,2082.16,Self-employed,0.308,816,16396.16,Debt consolidation,13.32,36,554.98,A5,4,23244.39,19548.53,2,0,4,1
72,Female,Married,High School,11052.47,921.04,Employed,0.13,843,11268.31,Home,9.94,36,363.28,A3,10,24981.52,17529.93,1,0,2,1
58,Male,Married,High School,32097.3,2674.78,Employed,0.061,613,500,Medical,13.51,36,16.97,D4,6,52819.72,45775.41,1,0,1,1
53,Female,Married,High School,33561.59,2796.8,Unemployed,0.128,653,22918.79,Debt consolidation,13.08,36,773.11,D5,5,49771.56,44769.8,3,0,3,0
44,Female,Single,Bachelor's,70349.55,5862.46,Employed,0.062,584,34419.57,Debt consolidation,13.52,36,1168.37,E4,7,58326.75,4699.9,2,0,2,1
35,Female,Married,High School,37142.52,3095.21,Employed,0.036,754,32769.1,Debt consolidation,11.67,36,1083.25,B2,5,35465.38,4953.9,1,0,1,1
50,Female,Widowed,High School,74207.17,6183.93,Unemployed,0.042,629,10715.84,Education,13.49,60,246.51,D2,4,88896.21,42360.1,2,0,3,0
75,Male,Single,Bachelor's,24903.58,2075.3,Employed,0.168,755,12418.47,Home,10.46,60,266.68,B2,10,25349.96,5676.88,1,0,2,1
62,Male,Married,High School,30965.57,2580.46,Employed,0.144,694,22866.12,Other,11.78,60,506.11,C3,1,45079.77,40489.34,2,0,2,0
71,Male,Single,High School,19836.68,1653.06,Student,0.109,725,15829,Car,7.45,60,316.8,C1,6,29797.62,18403.29,2,0,4,1
37,Male,Single,PhD,30973.62,2581.13,Retired,0.107,756,16158.53,Other,11.03,60,351.57,B1,6,31989.13,2049.06,2,0,3,1
25,Female,Married,Bachelor's,59636.92,4969.74,Employed,0.23,711,500,Other,15.68,36,17.5,C4,8,54986.36,13831.5,3,0,3,1
49,Female,Married,Bachelor's,60669.25,5055.77,Self-employed,0.077,532,7647.97,Medical,15.48,60,183.88,F2,7,58208.9,15848.21,1,0,2,1
24,Male,Married,Master's,41488.88,3457.41,Employed,0.091,619,13166.06,Business,15.5,36,459.64,D5,9,39900.25,19024.37,2,0,2,1
30,Male,Single,High School,16200.17,1350.01,Employed,0.226,776,30997.58,Home,12.35,60,695.02,B5,6,20079.08,18875.94,4,0,4,1
37,Male,Single,Bachelor's,15629.02,1302.42,Unemployed,0.184,706,30876.7,Other,14.24,36,1058.9,C2,6,27502.62,10014.4,1,0,2,0
30,Female,Divorced,Bachelor's,31283.13,2606.93,Self-employed,0.182,734,5004.91,Business,9.91,36,161.28,C1,10,45310.42,14813.65,0,0,1,1
37,Female,Single,Master's,24169.68,2014.14,Employed,0.273,671,3922.33,Car,14.17,60,91.61,C2,10,25405.85,12635.56,3,0,4,0
40,Female,Married,Bachelor's,54061.43,4505.12,Unemployed,0.086,800,30135.82,Other,10.37,36,977.64,A4,5,60121.78,38329.33,1,0,2,1
44,Female,Single,High School,48252.01,4021,Employed,0.129,801,25056.06,Home,10.26,36,811.55,A1,6,32723.53,10465.5,0,0,0,1
25,Male,Divorced,Bachelor's,44660.99,3721.75,Employed,0.021,723,10736.96,Debt consolidation,10.16,36,347.26,C4,8,57699.2,21604.6,3,0,3,1
54,Male,Divorced,Master's,25770.45,2147.54,Self-employed,0.344,687,12000.17,Medical,12.8,36,403.18,C1,3,25755.59,21670.26,3,0,3,0
26,Male,Single,Bachelor's,39675.62,3306.3,Unemployed,0.225,664,4703.44,Other,13.93,36,160.59,D4,4,27354.24,25283.69,2,0,3,0
73,Male,Married,Master's,44373.22,3697.77,Retired,0.196,673,4073.61,Debt consolidation,10.33,36,132.08,C2,4,48682.95,34090.85,0,0,0,1
22,Female,Single,Bachelor's,29556.14,2463.01,Retired,0.24,680,556.72,Other,10.88,36,18.19,C4,8,51651.65,6263.75,5,0,5,1
33,Female,Single,Master's,31453.3,2621.11,Self-employed,0.291,736,13779.07,Debt consolidation,10.4,36,447.2,C4,3,18860.31,11039.4,0,0,1,0
63,Female,Married,Bachelor's,43565.17,3630.43,Employed,0.205,703,11245.8,Debt consolidation,8.45,36,354.74,C2,5,30153.68,17581.99,6,2,6,1
63,Female,Married,High School,18828.3,1569.02,Employed,0.135,573,500,Debt consolidation,13.77,36,17.03,F3,4,13612.49,2956.68,2,0,2,1
68,Male,Single,PhD,25667.52,2138.96,Employed,0.145,737,11713.41,Debt consolidation,13.16,36,395.57,C3,3,37597.37,34784.59,2,0,2,1
31,Male,Married,Master's,24467.18,2038.93,Employed,0.215,624,12381.04,Car,13.57,60,285.33,D1,6,40963.88,36942.07,1,0,2,1
71,Female,Single,Other,65569.55,5464.13,Self-employed,0.147,604,23279.73,Car,15.17,36,808.94,E2,3,43644.07,13732.04,2,0,2,1
67,Female,Single,Bachelor's,26387.25,2198.94,Employed,0.079,682,17678.74,Debt consolidation,12.52,36,591.59,C3,6,33871.3,15702.94,2,0,3,1
43,Male,Married,Bachelor's,36922.71,3076.89,Employed,0.194,811,3417.82,Medical,7.61,36,106.49,A3,5,36992.46,14558.69,2,0,3,1
75,Female,Married,Master's,53501.87,4458.49,Employed,0.13,787,23194.56,Medical,10.71,36,756.18,B2,4,35894.55,14065.72,2,0,3,1
36,Female,Married,High School,23035.9,1919.66,Employed,0.045,762,2706.03,Debt consolidation,11.21,60,59.12,B1,7,19936.25,6757.39,2,0,3,1
51,Male,Married,PhD,61425.38,5118.78,Retired,0.331,577,13387.47,Debt consolidation,11.93,36,444.21,F5,4,56588.69,23221.52,4,0,4,1
31,Female,Married,High School,64663.05,5388.59,Employed,0.123,732,6971.89,Education,12.77,36,234.14,C2,6,53744.92,25750.85,2,0,2,1
74,Male,Married,High School,10154.35,846.2,Employed,0.026,655,26054.96,Debt consolidation,12.21,36,868.01,D5,3,13137.72,2343.68,1,0,1,1
36,Female,Single,High School,44973.58,3747.8,Employed,0.104,642,5996.54,Home,13.54,36,203.61,D3,5,58397.95,19731.73,1,0,3,1
28,Female,Married,Bachelor's,67553.59,5629.47,Employed,0.335,604,500,Car,16.13,36,17.61,E1,5,50876.99,25356.56,3,0,3,0
24,Other,Married,High School,28835.23,2402.94,Retired,0.184,519,27348.94,Car,11.1,36,896.66,F2,6,43446.27,22409.58,5,1,6,1
60,Male,Married,High School,50214.69,4184.56,Employed,0.143,709,8018.64,Education,15.38,60,192.37,C3,3,54740.53,22068.06,1,0,1,1
24,Male,Married,Bachelor's,16404.52,1367.04,Employed,0.331,677,14988.46,Other,11.24,36,492.41,C1,1,15003.88,5917.99,1,0,1,1
45,Male,Single,Bachelor's,14033.26,1169.44,Employed,0.329,682,14228.39,Car,10.27,36,460.92,C3,5,21926.13,13227.87,1,0,1,1
23,Male,Single,Master's,28157.05,2346.42,Self-employed,0.449,667,4476.35,Business,14.37,36,153.8,D4,4,22629.68,8557,3,0,3,1
52,Female,Married,High School,20223.03,1685.25,Employed,0.081,672,19997.04,Debt consolidation,13.27,36,676.38,C1,6,35342.55,12544.05,0,0,1,1
23,Female,Single,High School,44972.53,3747.71,Employed,0.271,681,14362.76,Business,11.65,36,474.65,C2,1,30621.18,23395.64,4,0,4,1
47,Male,Married,High School,44108.54,3675.71,Retired,0.167,684,12241.55,Debt consolidation,14.84,36,423.4,C3,5,31196.83,21689.06,1,0,3,1
49,Male,Married,Bachelor's,104547.42,8712.28,Employed,0.044,815,12084.59,Home,8.58,36,381.93,A5,3,91320.89,71798.85,1,0,1,1
52,Male,Married,Bachelor's,58605.13,4883.76,Retired,0.132,692,500,Debt consolidation,11.77,36,16.55,C4,12,89252.98,42558.17,1,0,2,1
70,Male,Married,Bachelor's,25370.52,2114.21,Employed,0.04,698,16118.98,Debt consolidation,9.9,60,341.69,C5,8,38966.43,4188.58,0,0,0,1
71,Male,Single,Bachelor's,37317.16,3109.76,Employed,0.245,618,21034.93,Other,13.11,36,709.86,D1,7,47122.3,28644.87,11,0,11,0
39,Male,Widowed,Master's,41376.51,3448.04,Employed,0.081,729,6324.54,Debt consolidation,14.11,60,147.52,C3,4,45599.16,9705.49,0,0,0,1
41,Female,Married,High School,49848.04,4154,Employed,0.146,595,23389.6,Home,14.94,36,810.12,E4,4,32351.93,28386.65,2,0,2,1
25,Male,Single,Bachelor's,10346.6,862.22,Employed,0.213,704,500,Debt consolidation,13.37,36,16.94,C2,3,12519.04,11581.59,1,0,1,1
38,Female,Single,High School,27672.32,2306.03,Self-employed,0.161,773,19237.4,Business,10.53,36,625.53,B4,5,32814.57,14545.11,1,0,1,1
48,Female,Single,High School,67869.41,5655.78,Employed,0.276,741,14407.02,Debt consolidation,10.22,36,466.36,B2,5,53801.63,12892.28,1,0,4,1
62,Male,Married,High School,46018.33,3834.86,Retired,0.089,647,28453.72,Education,12.5,36,951.88,D5,6,54451.18,35431,1,0,3,1
42,Female,Single,Bachelor's,37186.71,3098.89,Employed,0.059,640,5119.78,Other,12.16,36,170.44,D3,5,50236.79,30512.85,5,0,7,1
41,Female,Single,Bachelor's,26596.81,2216.4,Self-employed,0.073,776,13655.54,Debt consolidation,8.59,36,431.64,B5,4,39760.45,31290.41,3,0,3,1
26,Female,Single,Master's,33559.55,2796.63,Employed,0.074,670,20065.37,Other,14.33,36,689.01,C1,2,24947.33,17486.87,0,2,0,1
21,Male,Married,PhD,37234.79,3102.9,Employed,0.171,712,26584.73,Debt consolidation,10.98,36,870.1,C1,3,41430.8,9406.21,0,0,0,1
25,Male,Married,Bachelor's,21028.08,1752.34,Student,0.203,728,2363.87,Home,9.89,36,76.15,C5,4,25632.3,9380.41,4,0,5,1
61,Female,Married,High School,42637.1,3553.09,Employed,0.091,682,31007.08,Debt consolidation,11.18,36,1017.78,C4,5,62720.5,16347.79,3,0,3,1
32,Female,Married,Master's,37877.01,3156.42,Unemployed,0.093,651,500,Debt consolidation,14.51,36,17.21,D3,1,43421.27,33665.38,3,0,3,0
46,Male,Single,Master's,28261.63,2355.14,Employed,0.189,710,14712.01,Debt consolidation,11.02,36,481.79,C3,9,35702.44,25829.45,1,0,3,1
66,Male,Married,Master's,28216.26,2351.36,Employed,0.243,657,16690.78,Debt consolidation,12.46,60,375.17,D4,6,33842.46,2739.99,0,1,0,1
54,Male,Single,High School,17198.01,1433.17,Employed,0.19,712,2548.33,Other,9.48,36,81.61,C4,5,24187.34,22673.34,2,0,3,1
69,Male,Married,Master's,70631.01,5885.92,Employed,0.207,695,20267.67,Debt consolidation,10.92,36,662.77,C2,4,44019.27,9128.91,5,0,5,1
34,Female,Married,Master's,48907.62,4075.64,Employed,0.13,694,15352.05,Home,11.55,60,338.02,C3,4,28636.35,15794.48,2,0,2,1
46,Male,Single,Bachelor's,43155.17,3596.26,Employed,0.121,780,12916.03,Car,8.45,36,407.43,B4,3,44166.54,9676.28,0,0,0,1
65,Male,Single,Master's,50149.48,4179.12,Employed,0.426,634,11204.72,Debt consolidation,14.72,36,386.88,D5,8,60496.69,57051.6,0,0,0,1
47,Female,Married,Master's,6919.12,576.59,Employed,0.232,692,17617.31,Debt consolidation,15.51,60,423.85,C3,8,17023.52,4468.06,3,0,4,1
29,Male,Single,Bachelor's,100473.21,8372.77,Employed,0.049,641,15246.58,Debt consolidation,12.89,60,346.05,D2,2,75703.9,13584.16,1,0,2,1
46,Female,Single,Master's,7422.38,618.53,Employed,0.067,690,21101.27,Debt consolidation,13.3,36,714.04,C3,5,10260.59,3960.17,0,0,0,1
67,Female,Divorced,Master's,61940.53,5161.71,Employed,0.158,759,5723.36,Debt consolidation,11.74,36,189.39,B1,4,38629.68,6202.87,3,0,3,1
42,Male,Married,PhD,38412.93,3201.08,Employed,0.147,682,9913.24,Debt consolidation,14.4,36,340.74,C4,4,58421.41,40164.64,3,0,4,1
67,Female,Married,Other,19169.03,1597.42,Employed,0.09,673,29449.23,Debt consolidation,16.61,36,1044.24,C4,4,23441.56,19484.41,3,0,3,1
50,Female,Married,Bachelor's,38662.45,3221.87,Self-employed,0.014,571,500,Medical,11.22,36,16.42,F5,3,56225.41,52258.22,1,0,1,1
63,Male,Single,High School,48615.21,4051.27,Employed,0.255,664,17744.57,Debt consolidation,12.65,36,594.9,D5,5,73545.78,32457.82,1,0,1,1
68,Male,Single,High School,26836.09,2236.34,Employed,0.113,648,1989.94,Car,15.21,60,47.56,D2,3,32191.96,27402.21,2,0,2,0
37,Female,Married,Other,74650.84,6220.9,Employed,0.207,582,12588.99,Debt consolidation,12.58,36,421.63,E5,2,91639.49,13928.67,1,0,2,1
46,Female,Married,Bachelor's,14678.84,1223.24,Employed,0.098,650,14372.49,Business,11.64,36,474.9,D2,3,19613.41,10426.75,1,0,1,0
56,Female,Single,Bachelor's,19189.32,1599.11,Employed,0.162,696,25106.21,Home,11.93,36,833.05,C4,6,26310.36,4762.31,4,0,5,1
21,Male,Single,Bachelor's,16994.47,1416.21,Employed,0.134,721,2948.15,Education,11.85,36,97.71,C4,6,20269.41,7672.35,3,0,5,1
28,Female,Single,High School,15382.24,1281.85,Employed,0.202,794,13349.75,Education,13.2,60,305.12,B3,5,25211.2,21415.61,5,0,6,1
69,Male,Married,Bachelor's,40124.26,3343.69,Employed,0.141,691,17425.68,Debt consolidation,11.64,60,384.46,C1,4,40671.4,3611.02,1,0,1,1
55,Female,Single,Master's,95088.43,7924.04,Employed,0.055,850,15027.45,Vacation,10.12,36,485.74,A3,5,82485.22,28396,0,0,0,1
72,Female,Divorced,High School,60488.39,5040.7,Self-employed,0.265,648,17946.91,Business,15.64,36,627.77,D3,4,61787.43,40804.61,5,0,5,1
35,Female,Widowed,Master's,30227.81,2518.98,Employed,0.059,646,22476.74,Home,14.04,60,523.46,D3,3,36471.92,21846.11,3,0,3,1
67,Female,Married,Bachelor's,83569.98,6964.16,Employed,0.232,808,2031.31,Business,11.8,60,44.98,A3,5,91051.27,15863.87,0,0,0,1
42,Female,Married,Bachelor's,67391.92,5615.99,Employed,0.447,620,19822.33,Debt consolidation,13.43,36,672.01,D3,5,66428.57,34845.48,3,0,3,0
34,Female,Single,Bachelor's,24277.86,2023.16,Employed,0.159,665,31236.46,Debt consolidation,12.76,36,1048.87,D4,3,17118.05,13636.8,1,0,1,1
46,Male,Single,Master's,30439.88,2536.66,Unemployed,0.211,678,536.88,Debt consolidation,16.97,36,19.13,C5,6,42155.69,20534.71,1,0,1,0
48,Female,Married,Bachelor's,43205.7,3600.48,Employed,0.278,689,7782.76,Other,13.62,36,264.56,C2,4,55668.59,36910.91,4,0,4,1
43,Female,Single,Bachelor's,22717.32,1893.11,Employed,0.229,623,9407.14,Debt consolidation,12.95,36,316.74,D2,4,25828.55,2595.76,3,0,4,1
34,Male,Single,Bachelor's,20037.82,1669.82,Employed,0.251,694,21323.6,Other,13.42,60,489.77,C4,1,26796.75,3582.55,1,0,2,1
44,Female,Married,Other,56543.26,4711.94,Employed,0.156,781,12362.77,Debt consolidation,8.59,36,390.78,B5,5,83336.82,17658.53,0,0,0,1
22,Male,Married,Bachelor's,64990.98,5415.92,Self-employed,0.464,736,18892.23,Home,11.34,60,413.97,C3,7,61272.35,15466.71,2,1,3,1
65,Female,Married,Master's,19693.04,1641.09,Employed,0.349,717,20558.13,Education,9.03,36,654.03,C5,4,14860.92,11501.48,3,0,4,1
46,Female,Single,Bachelor's,45178.33,3764.86,Self-employed,0.195,705,6618.4,Debt consolidation,11.7,36,218.88,C2,3,29130.25,18060.38,4,0,4,1
34,Male,Single,High School,44735.52,3727.96,Employed,0.134,557,16493.72,Car,15.35,60,395.42,F3,8,42491.17,9102.51,4,0,4,1
71,Female,Married,High School,18730.73,1560.89,Unemployed,0.128,601,3700.4,Other,16.37,60,90.72,E3,6,28212.92,25917.02,3,0,3,0
27,Male,Divorced,High School,44090.9,3674.24,Employed,0.067,781,16497.96,Debt consolidation,10.39,36,535.37,B5,5,69924.95,18146.58,4,0,4,1
23,Female,Married,High School,49539.72,4128.31,Employed,0.226,674,26601.36,Debt consolidation,9.49,60,558.55,C5,6,69038.09,28645.29,0,0,1,1
67,Male,Single,Bachelor's,50969.17,4247.43,Self-employed,0.204,729,8420.83,Home,8.9,36,267.39,C2,7,67306.01,40066.11,1,0,1,1
43,Male,Single,High School,30437.13,2536.43,Employed,0.116,687,8332.62,Debt consolidation,11.72,36,275.65,C3,5,21723.51,6051.4,1,0,2,1
66,Male,Divorced,Master's,43173.48,3597.79,Employed,0.222,587,18893.24,Debt consolidation,11.43,60,414.85,E2,3,24710.56,22096.34,3,0,5,1
63,Male,Single,Other,40230.37,3352.53,Self-employed,0.138,690,25121.68,Vacation,7.24,36,778.44,C5,8,32393.84,26271.14,2,0,2,1
67,Female,Single,Bachelor's,37835.72,3152.98,Employed,0.226,689,8993.6,Other,9.85,60,190.42,C4,8,63868.46,24234.54,1,0,3,1
65,Female,Single,Bachelor's,61124.68,5093.72,Employed,0.201,730,28592.24,Other,9.18,36,911.62,C5,6,95809.36,55859.58,2,0,2,1
38,Male,Married,Bachelor's,20210.52,1684.21,Self-employed,0.025,813,28747.46,Medical,8.35,36,905.49,A3,6,20014.89,8439.98,0,0,1,1
58,Male,Single,Bachelor's,21578.91,1798.24,Employed,0.28,788,16359.61,Medical,10.69,36,533.19,B3,7,29989.29,26573.39,2,0,3,1
55,Male,Single,Bachelor's,18948.24,1579.02,Employed,0.092,709,14939.76,Business,9.9,36,481.36,C2,5,21806.35,9115.55,0,0,1,1
71,Female,Married,Bachelor's,64957.91,5413.16,Employed,0.195,673,16256.75,Education,12.24,36,541.82,C4,7,101551.49,50079.62,4,0,4,1
35,Female,Single,Bachelor's,35536.3,2961.36,Employed,0.176,665,30015.37,Debt consolidation,14.8,36,1037.56,D1,4,50173.43,24471.05,2,0,2,1
45,Male,Married,Bachelor's,24708.27,2059.02,Employed,0.191,638,17991.7,Car,12.61,36,602.84,D3,9,32868.05,14743.02,0,0,0,1
75,Female,Married,Bachelor's,76667.98,6389,Employed,0.213,797,16624.65,Debt consolidation,11.16,36,545.53,B1,6,69661.52,61073.06,2,0,2,1
57,Male,Married,Master's,31133.33,2594.44,Employed,0.308,850,19794.92,Debt consolidation,6.16,36,603.64,A4,4,29296.62,12548.34,1,0,1,1
48,Female,Single,Other,9707.11,808.93,Employed,0.224,768,15492.55,Debt consolidation,11.2,36,508.67,B5,4,17451.14,14305.36,3,0,4,1
30,Female,Married,Master's,24313.53,2026.13,Self-employed,0.109,696,4331.88,Debt consolidation,13.51,36,147.02,C2,6,36931.89,26136.01,1,0,2,1
59,Female,Single,Bachelor's,37934.2,3161.18,Employed,0.162,596,16601.15,Debt consolidation,15.45,60,398.87,E4,2,56742.33,28089.24,1,0,1,1
37,Female,Single,Master's,44736.04,3728,Employed,0.14,652,12184.52,Debt consolidation,10.77,36,397.58,D4,8,54114.16,46614.77,2,1,2,1
59,Female,Married,Bachelor's,23850.86,1987.57,Employed,0.265,791,22193.9,Debt consolidation,10.07,36,716.86,B2,2,17556.9,10998.35,1,0,3,1
42,Female,Married,Master's,27732.65,2311.05,Employed,0.061,632,24523.94,Home,14.78,60,580.59,D3,6,46774.81,17119.55,3,0,4,1
46,Female,Single,PhD,26616.21,2218.02,Employed,0.47,610,3982.13,Home,12.7,36,133.6,D3,4,38443.66,35987.94,1,0,2,1
